id,lat,lon,amenity_type,amenity
2179391644,10.2921362,123.87649,clinic,Mambaling Health Center
4049614390,10.3090599,123.907792,clinic,Cebu Skin Clinic
4118002090,10.3175148,123.8851477,clinic,Metro Cebu Kidney Dialysis Center
4122422390,10.2989044,123.8972113,clinic,Fortune Care Clinic
4302562290,10.3300298,123.9436116,clinic,Dr. Jojo Cortes Clinic
4302562790,10.3316948,123.9455445,clinic,Marie Stopes
4340937722,10.2895124,123.8818025,clinic,Alaska Mambaling Barangay Health Center
4447144789,10.3265841,123.9334485,clinic,HearthHub Clinic
4741655243,10.329083,123.9315776,clinic,Community clinic
4888205822,10.4090205,123.9307507,clinic,Kauswagan Community Clinic and Social Center
4942410126,10.3236716,123.9062045,clinic,Barangay Luz Health Center
5213581456,10.4076483,123.9981566,clinic,Liloan Doctors Outpatient Clinic
5385358124,10.2802455,123.9454867,clinic,Babag Health Center
5507339621,10.3181901,123.9051556,clinic,Chiropractic Clinic
5519778825,10.2804974,123.8807426,clinic,Kaiser Mecial Clinic
5519793521,10.3150927,123.8843725,clinic,The One Family Clinic & Laboratory
5786024214,10.2585217,123.9484176,clinic,Unnamed health
5846373352,10.2854585,123.8714657,clinic,Dr. Alicia Yuipco- Delfin Clinic
6357446985,10.2964483,123.8852785,clinic,Cebu Dog and Cat
6357875073,10.3255992,123.8803815,clinic,Unnamed health
7015939292,10.2603372,123.8405344,clinic,Serenety Wellness Clinic (Healthcare Center)
7130431686,10.3162743,123.9647618,clinic,Lapu-Lapu City Social Hygiene Clinic
7141236985,10.3081492,123.9089799,clinic,Cebu City Social Hygiene Clinic
7141264185,10.2945321,123.9030522,clinic,"Cebu Sagrada Corazon Health Services, Inc."
7170935585,10.3148458,123.9005112,clinic,Nuclear Medicine - Perpetual Soccur Hospital
7173788586,10.3148173,123.9005891,clinic,Cebu Urologic Institute - Perpetual Succour Hospital
7815546585,10.287983,123.8703078,clinic,Glory Reborn Birthing Center
7843264785,10.297792,123.9025495,clinic,St Peter - Paul Medical Clinic
9395626417,10.3166661,123.8883113,clinic,Supercare Cebu
9905565534,10.3030502,123.9470043,clinic,Tapang Medical Clinic
10213231718,10.2962618,123.9652602,clinic,OMDC Medical Diagnostic Clinic
10213231828,10.3970947,123.9792298,clinic,Lex Pharmacy
10213233631,10.2641776,123.9465648,clinic,Coremed
10838117336,10.3129263,123.9760213,clinic,Unnamed health
11017829403,10.2844351,123.9692423,clinic,Expert Care MEdical Clinic
11555599369,10.2975699,123.8795033,clinic,City Doctors Med Clinic And Pharmacy
11875317495,10.3009639,123.878107,clinic,Kevlo Skin Clinic
11879062895,10.3441351,123.9121982,clinic,Int'l Acupuncture and medical Clinic
12463209401,10.4208965,123.9978174,clinic,PhilHealth
12463209501,10.4058447,123.9985667,clinic,Dr. Rick
12876599202,10.3048701,123.8984341,clinic,Alpha diagnostic center
